Title,Author,Narrator,Length,Release Date,Language
Roverpowered 3: Tales of an Aspiring Alchemist,"By:
                                    Drew Hayes","Narrated by:
                                      Amy Landon",2 hrs and 37 mins,"Release date:
                                    05-07-25","Language:
                                      English"
The Hounds,"By:
                                    Always RollsAOne, Erick Thiemke","Narrated by:
                                      Nikola Hamilton",17 hrs and 3 mins,"Release date:
                                    04-23-25","Language:
                                      English"
Depths of Tamil,"By:
                                    B.V. Larson","Narrated by:
                                      Mark Boyett",9 hrs and 17 mins,"Release date:
                                    05-06-25","Language:
                                      English"
Shadows of the Empire,"By:
                                    Steve Perry","Narrated by:
                                      Marc Thompson",13 hrs and 31 mins,"Release date:
                                    06-03-25","Language:
                                      English"
Archangel: Fallen,"By:
                                    Rick Partlow","Narrated by:
                                      Garrett Michael Brown",10 hrs and 35 mins,"Release date:
                                    05-06-25","Language:
                                      English"
The Legend of Randidly Ghosthound 10,"By:
                                    Noret Flood, puddles4263","Narrated by:
                                      MacLeod Andrews",27 hrs and 47 mins,"Release date:
                                    07-01-25","Language:
                                      English"
Rift Warden Academy,"By:
                                    Craig Hamilton","Narrated by:
                                      Steve Campbell",12 hrs and 45 mins,"Release date:
                                    05-01-25","Language:
                                      English"
The One Who Changes the Future #2,"By:
                                    Boris Romanovsky, Mikhail Yagupov - translator","Narrated by:
                                      James R. Cheatham",10 hrs and 46 mins,"Release date:
                                    05-06-25","Language:
                                      English"
"Heretical Fishing 4: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself","By:
                                    Haylock Jobson","Narrated by:
                                      Heath Miller",21 hrs and 6 mins,"Release date:
                                    08-26-25","Language:
                                      English"
The Knight and the Moth,"By:
                                    Rachel Gillig","Narrated by:
                                      Samantha Hydeson",13 hrs and 51 mins,"Release date:
                                    05-20-25","Language:
                                      English"
镜花缘,"By:
                                    李汝珍","Narrated by:
                                      Kimberly Morris",35 hrs and 18 mins,"Release date:
                                    05-01-25","Language:
                                      Mandarin Chinese"
The Devils,"By:
                                    Joe Abercrombie","Narrated by:
                                      Steven Pacey",25 hrs and 6 mins,"Release date:
                                    05-13-25","Language:
                                      English"
Whispers of the Hollow,"By:
                                    Nicholas Meshew","Narrated by:
                                      Sylas Fenwick",2 hrs and 16 mins,"Release date:
                                    04-17-25","Language:
                                      English"
Overgrowth,"By:
                                    Mira Grant","Narrated by:
                                      Caitlin Kelly",17 hrs and 27 mins,"Release date:
                                    05-06-25","Language:
                                      English"
Boom Box,"By:
                                    Benjamin Wallace","Narrated by:
                                      Phil Thron",20 hrs and 33 mins,"Release date:
                                    05-13-25","Language:
                                      English"
"Olga Romanoff or, The Syren of the Skies","By:
                                    George Griffith","Narrated by:
                                      Justin Hewitt",13 hrs and 49 mins,"Release date:
                                    02-25-25","Language:
                                      English"
How to Fall in Lust with a Devil,"By:
                                    Lola Glass","Narrated by:
                                      Jack Calihan, Kit Swann",5 hrs and 37 mins,"Release date:
                                    05-06-25","Language:
                                      English"
"The Rising of the Shield Hero, Volume 13","By:
                                    Aneko Yusagi","Narrated by:
                                      Shea Taylor",10 hrs and 4 mins,"Release date:
                                    05-13-25","Language:
                                      English"
Graveyard of Demons,"By:
                                    Larry Correia","Narrated by:
                                      Tim Gerard Reynolds",16 hrs and 6 mins,"Release date:
                                    05-20-25","Language:
                                      English"
"After Z, Part VI","By:
                                    J.S. Patrick","Narrated by:
                                      Matthew Crow",8 hrs and 28 mins,"Release date:
                                    05-01-25","Language:
                                      English"
"Somewhere, Somehow, Maeron","By:
                                    Jason S Brenner","Narrated by:
                                      Caleb James Walker",1 hr and 24 mins,"Release date:
                                    04-18-25","Language:
                                      English"
The Radio Beasts,"By:
                                    Ralph Milne Farley","Narrated by:
                                      Daryl Hanson",8 hrs and 7 mins,"Release date:
                                    02-12-25","Language:
                                      English"
The Order of Architects: Book 4,"By:
                                    Oleg Sapphire, Yuri Vinokuroff, Christopher Michael Jarrett - translator","Narrated by:
                                      Kevin T. Collins",9 hrs and 58 mins,"Release date:
                                    04-29-25","Language:
                                      English"
Dead Tired III,"By:
                                    RavensDagger","Narrated by:
                                      Justin Thomas James, Jeff Hays, Annie Ellicott, Dorrie Sacks, Gary Furlong",8 hrs and 55 mins,"Release date:
                                    04-29-25","Language:
                                      English"
The Crown of Gilded Bones (Part 1 of 2) (Dramatized Adaptation),"By:
                                    Jennifer L. Armentrout","Narrated by:
                                      full cast",9 hrs,"Release date:
                                    05-16-25","Language:
                                      English"
The Fallen and the Kiss of Dusk,"By:
                                    Carissa Broadbent","Narrated by:
                                      Amanda Leigh Cobb, Aiden Snow",17 hrs and 46 mins,"Release date:
                                    08-05-25","Language:
                                      English"
Anima Rising,"By:
                                    Christopher Moore","Narrated by:
                                      Mary Jane Wells",11 hrs and 45 mins,"Release date:
                                    05-13-25","Language:
                                      English"
Small Magics (Dramatized Adaptation),"By:
                                    Ilona Andrews","Narrated by:
                                      full cast",9 hrs,"Release date:
                                    06-12-25","Language:
                                      English"
Repose,"By:
                                    D. Petrie","Narrated by:
                                      Travis Baldree",18 hrs and 18 mins,"Release date:
                                    04-30-25","Language:
                                      English"
Commune 7: Bloody Sun,"By:
                                    Joshua Gayou, Devon C. Ford","Narrated by:
                                      R.C. Bray",16 hrs and 29 mins,"Release date:
                                    05-06-25","Language:
                                      English"
Ghost in the System: Book 3,"By:
                                    Alexey Kovtunov, Benjamin Patrick Miller - translator","Narrated by:
                                      Jonathan Johns",8 hrs and 23 mins,"Release date:
                                    05-06-25","Language:
                                      English"
The Dungeon Anarchist's Cookbook,"By:
                                    Matt Dinniman","Narrated by:
                                      Jeff Hays, The Critical Drinker",16 hrs and 54 mins,"Release date:
                                    05-14-21","Language:
                                      English"
"Eight: New Blood, Old Bones","By:
                                    Samer Rabadi","Narrated by:
                                      Gary Tiedemann",18 hrs and 47 mins,"Release date:
                                    05-27-25","Language:
                                      English"
"Martial Arts vs Magic, Book 1","By:
                                    The Veiled Man, Hikaru Genji","Narrated by:
                                      Sylvester Frost, Ellory Lane",13 hrs and 20 mins,"Release date:
                                    05-01-25","Language:
                                      English"
The Wolf's Advance: A Blood Magic Lycanthrope LitRPG,"By:
                                    Shane Purdy","Narrated by:
                                      Hannah Schooner, Giancarlo Herrera",17 hrs,"Release date:
                                    06-17-25","Language:
                                      English"
Inked in Ashes,"By:
                                    Shannon Mayer","Narrated by:
                                      Amelia Hugh",11 hrs and 35 mins,"Release date:
                                    05-13-25","Language:
                                      English"
A Curse Carved in Bone,"By:
                                    Danielle L. Jensen","Narrated by:
                                      Nikolas Salmon, Nina Yndis",14 hrs and 25 mins,"Release date:
                                    05-13-25","Language:
                                      English"
Merchant of Rebellion,"By:
                                    Bruce Sentar","Narrated by:
                                      Christopher Boucher, Jessica Threet",15 hrs and 55 mins,"Release date:
                                    04-09-25","Language:
                                      English"
The Bond That Burns,"By:
                                    Briar Boleyn","Narrated by:
                                      Hannah Hedley, Justin Hill",14 hrs and 36 mins,"Release date:
                                    07-22-25","Language:
                                      English"
Ship of Prophecy Box Set: The Complete 10-Book Series,"By:
                                    Scott Bartlett","Narrated by:
                                      Mark Boyett",75 hrs and 26 mins,"Release date:
                                    05-07-25","Language:
                                      English"
He Who Fights with Monsters: A LitRPG Adventure,"By:
                                    Shirtaloon, Travis Deverell","Narrated by:
                                      Heath Miller",28 hrs and 56 mins,"Release date:
                                    03-09-21","Language:
                                      English"
Come for Me,"By:
                                    CJ Sweet","Narrated by:
                                      Andi Eloise, Joe Arden",7 hrs and 51 mins,"Release date:
                                    04-16-25","Language:
                                      English"
Atonement Sky,"By:
                                    Nalini Singh","Narrated by:
                                      Angela Dawe",15 hrs,"Release date:
                                    07-15-25","Language:
                                      English"
Shadow Princess (1 of 2) (Dramatized Adaptation),"By:
                                    Susanne Valenti, Caroline Peckham","Narrated by:
                                      full cast",9 hrs,"Release date:
                                    06-13-25","Language:
                                      English"
Cottonmouth,"By:
                                    Naomi Lucas","Narrated by:
                                      John Masterson, Willa Jaymes",12 hrs and 19 mins,"Release date:
                                    05-06-25","Language:
                                      English"
Carl's Doomsday Scenario,"By:
                                    Matt Dinniman","Narrated by:
                                      Jeff Hays",11 hrs and 28 mins,"Release date:
                                    04-22-21","Language:
                                      English"
The Night Prince,"By:
                                    Lauren Palphreyman","Narrated by:
                                      Zara Hampton-Brown, Shane East, Sean Masters",12 hrs,"Release date:
                                    06-10-25","Language:
                                      English"
Throne of Glass (Dramatized Adaptation),"By:
                                    Sarah J. Maas","Narrated by:
                                      full cast",11 hrs,"Release date:
                                    08-25-25","Language:
                                      English"
Fated to the Wolf Billionaire,"By:
                                    April L. Moon","Narrated by:
                                      Stella Rose, Xander Marceaux",11 hrs and 6 mins,"Release date:
                                    08-26-25","Language:
                                      English"
"The Witches of Scotland: The Complete Series, Books 1-8","By:
                                    Steven P Aitchison","Narrated by:
                                      Lianne Walker",32 hrs and 7 mins,"Release date:
                                    10-24-24","Language:
                                      English"
New Potential,"By:
                                    Shawn Wilson","Narrated by:
                                      Johnathan McClain",11 hrs and 57 mins,"Release date:
                                    06-03-25","Language:
                                      English"
Trailer Park Elves 2,"By:
                                    Michael Dalton, Adam Lance","Narrated by:
                                      Mandy McCullough, Christopher Harbour",7 hrs and 41 mins,"Release date:
                                    04-29-25","Language:
                                      English"
Galactic Patrol,"By:
                                    E.E. Smith","Narrated by:
                                      Kevin Coffin",8 hrs and 35 mins,"Release date:
                                    10-11-24","Language:
                                      English"
Path of the Knight,"By:
                                    Alexander Layne","Narrated by:
                                      Jonathan Johns",13 hrs and 50 mins,"Release date:
                                    05-06-25","Language:
                                      English"
The Primal Hunter 11,"By:
                                    Zogarth","Narrated by:
                                      Travis Baldree",23 hrs and 31 mins,"Release date:
                                    03-05-25","Language:
                                      English"
An Education in Magical Affairs: An Isekai LitRPG,"By:
                                    SourpatchHero","Narrated by:
                                      Nick Podehl",16 hrs,"Release date:
                                    05-20-25","Language:
                                      English"
Mage of Waycross 4,"By:
                                    Jack Bryce","Narrated by:
                                      Giancarlo Herrera, Hannah Schooner",7 hrs and 28 mins,"Release date:
                                    05-06-25","Language:
                                      English"
Rise of the Living Forge 3,"By:
                                    Actus","Narrated by:
                                      Peter Berkrot",21 hrs and 11 mins,"Release date:
                                    04-16-25","Language:
                                      English"
Archangel's Ascension,"By:
                                    Nalini Singh","Narrated by:
                                      Justine Eyre",11 hrs and 44 mins,"Release date:
                                    05-08-25","Language:
                                      English"
Age of Expansion,"By:
                                    Jez Cajiao","Narrated by:
                                      Neil Hellegers",23 hrs and 52 mins,"Release date:
                                    04-15-25","Language:
                                      English"
Gateway,"By:
                                    Craig Alanson","Narrated by:
                                      R.C. Bray",19 hrs and 26 mins,"Release date:
                                    04-29-25","Language:
                                      English"
Farsight: Blade of Truth,"By:
                                    Phil Kelly","Narrated by:
                                      Andrew Wincott",13 hrs and 13 mins,"Release date:
                                    04-12-25","Language:
                                      English"
Bog Standard Isekai: Nightmares,"By:
                                    Miles English","Narrated by:
                                      Johnathan McClain",21 hrs and 23 mins,"Release date:
                                    03-31-25","Language:
                                      English"
Devil's Desk 3,"By:
                                    Mark Tufo","Narrated by:
                                      Sean Runnette",Not Yet Known,"Release date:
                                    09-16-25","Language:
                                      English"
Bonds of Hercules,"By:
                                    Jasmine Mas","Narrated by:
                                      Aiden Snow, Tristan Morris, Teddy Hamilton, Meg Sylvan, JT Londale, Allie Shae",13 hrs and 45 mins,"Release date:
                                    10-28-25","Language:
                                      English"
Of Empires and Dust,"By:
                                    Ryan Cahill","Narrated by:
                                      Derek Perkins",52 hrs and 13 mins,"Release date:
                                    09-30-25","Language:
                                      English"
Moonclad,"By:
                                    D.E. Sherman","Narrated by:
                                      John Joseph Rogers, Rylee Kuberra",16 hrs and 2 mins,"Release date:
                                    04-28-25","Language:
                                      English"
The Hunter's Code: Book 7,"By:
                                    Yuri Vinokuroff, Oleg Sapphire, Alix Merlin Williamson - translator","Narrated by:
                                      Brian Telestai",7 hrs and 56 mins,"Release date:
                                    05-13-25","Language:
                                      English"
Enchantra,"By:
                                    Kaylie Smith","Narrated by:
                                      Laura Horowitz",11 hrs and 57 mins,"Release date:
                                    04-08-25","Language:
                                      English"
"Magic, Academies & Vampires","By:
                                    Benjamin Kerei","Narrated by:
                                      Travis Baldree",17 hrs and 8 mins,"Release date:
                                    06-03-25","Language:
                                      English"
Royal Dragons 3,"By:
                                    Marcus Sloss, Jace Cannon","Narrated by:
                                      Jonathan Waters, Amber Hartt",8 hrs and 32 mins,"Release date:
                                    04-28-25","Language:
                                      English"
Citybound,"By:
                                    J.L. Mullins","Narrated by:
                                      Tess Irondale",19 hrs and 21 mins,"Release date:
                                    04-28-25","Language:
                                      English"
Mark of the Fool 8,"By:
                                    J.M. Clarke","Narrated by:
                                      Travis Baldree",16 hrs and 14 mins,"Release date:
                                    03-19-25","Language:
                                      English"
"The America Falls Omnibus, Books 1-11","By:
                                    Scott Medbury","Narrated by:
                                      Adam Barr",59 hrs and 35 mins,"Release date:
                                    08-23-24","Language:
                                      English"
Waved Away,"By:
                                    Will Nesbitt","Narrated by:
                                      Danny Holt",4 hrs and 37 mins,"Release date:
                                    04-01-25","Language:
                                      English"
The Soul's Guide to the After Death,"By:
                                    Gwenna Laithland","Narrated by:
                                      Gwenna Laithland",3 hrs and 59 mins,"Release date:
                                    04-29-25","Language:
                                      English"
The Chronicles of Narnia Complete Audio Collection,"By:
                                    C. S. Lewis","Narrated by:
                                      Kenneth Branagh, Alex Jennings, Michael York, Lynn Redgrave, Derek Jacobi, Jeremy Northam, Patrick Stewart",33 hrs and 45 mins,"Release date:
                                    12-27-19","Language:
                                      English"
The Eye of the Bedlam Bride,"By:
                                    Matt Dinniman","Narrated by:
                                      Jeff Hays, Patrick Warburton, Travis Baldree, Annie Ellicott",26 hrs and 46 mins,"Release date:
                                    09-01-23","Language:
                                      English"
The Two Towers,"By:
                                    J. R. R. Tolkien","Narrated by:
                                      Andy Serkis",20 hrs and 46 mins,"Release date:
                                    09-16-21","Language:
                                      English"
Crescent Kingdom,"By:
                                    Tessa Hale","Narrated by:
                                      Vanessa Moyen, Connor Crais, Jason Clarke, JF Harding, Shane East, Teddy Hamilton",6 hrs and 29 mins,"Release date:
                                    04-23-25","Language:
                                      English"
Heaven's River,"By:
                                    Dennis E. Taylor","Narrated by:
                                      Ray Porter",16 hrs and 57 mins,"Release date:
                                    09-24-20","Language:
                                      English"
Iron Flame,"By:
                                    Rebecca Yarros","Narrated by:
                                      Rebecca Soler, Teddy Hamilton",28 hrs and 16 mins,"Release date:
                                    11-07-23","Language:
                                      English"
Hunter Ascended,"By:
                                    J.N. Chaney, Matthew A. Goodwin","Narrated by:
                                      Neill Thorne",7 hrs and 41 mins,"Release date:
                                    06-26-25","Language:
                                      English"
"Lord of the System, Book 2","By:
                                    Alex Toxic, Furious Miki, Reuben Woolley - translator","Narrated by:
                                      Ray Greenley",8 hrs and 43 mins,"Release date:
                                    05-06-25","Language:
                                      English"
The Gate of the Feral Gods,"By:
                                    Matt Dinniman","Narrated by:
                                      Jeff Hays",18 hrs and 3 mins,"Release date:
                                    09-16-21","Language:
                                      English"
The Succubi,"By:
                                    Apollos Thorne","Narrated by:
                                      Graham Halstead",14 hrs and 28 mins,"Release date:
                                    04-22-25","Language:
                                      English"
House of Earth and Blood,"By:
                                    Sarah J. Maas","Narrated by:
                                      Elizabeth Evans",27 hrs and 50 mins,"Release date:
                                    03-03-20","Language:
                                      English"
Phantasma,"By:
                                    Kaylie Smith, Diana Bürgel - Übersetzer, Julian Müller - Übersetzer","Narrated by:
                                      Franka Böhm",14 hrs and 4 mins,"Release date:
                                    04-16-25","Language:
                                      German"
The Butcher's Masquerade,"By:
                                    Matt Dinniman","Narrated by:
                                      Jeff Hays",23 hrs and 33 mins,"Release date:
                                    05-26-22","Language:
                                      English"
Crossroads of the Apocalypse,"By:
                                    Benjamin Wallace","Narrated by:
                                      Phil Thron",8 hrs and 30 mins,"Release date:
                                    05-06-25","Language:
                                      English"
A Court of Frost and Starlight,"By:
                                    Sarah J. Maas","Narrated by:
                                      Amanda Leigh Cobb",6 hrs and 23 mins,"Release date:
                                    05-01-18","Language:
                                      English"
Rhythm of War,"By:
                                    Brandon Sanderson","Narrated by:
                                      Kate Reading, Michael Kramer",57 hrs and 26 mins,"Release date:
                                    11-17-20","Language:
                                      English"
Star Wars: Trials of the Jedi (The High Republic),"By:
                                    Charles Soule","Narrated by:
                                      Marc Thompson",12 hrs,"Release date:
                                    06-17-25","Language:
                                      English"
Golden Son,"By:
                                    Pierce Brown","Narrated by:
                                      Tim Gerard Reynolds",19 hrs and 3 mins,"Release date:
                                    01-06-15","Language:
                                      English"
House of Sky and Breath,"By:
                                    Sarah J. Maas","Narrated by:
                                      Elizabeth Evans",27 hrs and 42 mins,"Release date:
                                    02-15-22","Language:
                                      English"
The Fellowship of the Ring,"By:
                                    J. R. R. Tolkien","Narrated by:
                                      Rob Inglis",19 hrs and 7 mins,"Release date:
                                    10-09-12","Language:
                                      English"
Morning Star,"By:
                                    Pierce Brown","Narrated by:
                                      Tim Gerard Reynolds",21 hrs and 50 mins,"Release date:
                                    02-09-16","Language:
                                      English"
Marauder,"By:
                                    Seth Ring","Narrated by:
                                      Eric Jason Martin",13 hrs and 30 mins,"Release date:
                                    07-16-25","Language:
                                      English"
A Court of Mist and Fury,"By:
                                    Sarah J. Maas","Narrated by:
                                      Jennifer Ikeda",23 hrs and 16 mins,"Release date:
                                    05-03-16","Language:
                                      English"
